condition,model_name,model_type,fold,r2,mse,rmse
copd,Base,LM,0,0.16830839205352777,16.864574403921356,4.106650022088728
copd,Base + Race 1,LM,0,0.1684800095396365,16.975175274496003,4.120094085636395
copd,Base + Race 2,LM,0,0.17076563945096102,16.901131790275084,4.111098611110549
copd,Base,LM,1,0.16054021894424308,14.161956358793242,3.763237483709106
copd,Base + Race 1,LM,1,0.16095321943456908,14.336976448340778,3.786420004217807
copd,Base + Race 2,LM,1,0.16240912309727873,14.176677679490625,3.76519291398072
copd,Base,LM,2,0.167069883447319,13.988915130089875,3.740175815398238
copd,Base + Race 1,LM,2,0.16709512876123622,14.066814109481054,3.7505751704879953
copd,Base + Race 2,LM,2,0.16987909131353562,14.113706349007645,3.75682130916652
copd,Base,LM,3,0.14629248344138568,15.942294910268492,3.9927803483623405
copd,Base + Race 1,LM,3,0.14583443139226626,15.92820502955102,3.991015538625604
copd,Base + Race 2,LM,3,0.14855855738258317,15.952126359241625,3.994011311856994
copd,Base,LM,4,0.16096067296570438,15.019465870375553,3.8754955644892117
copd,Base + Race 1,LM,4,0.1605244789189224,15.006490988589126,3.873821238594926
copd,Base + Race 2,LM,4,0.16329648331921076,15.03690350315215,3.8777446413027445
copd,Base,LM,5,0.15427674998044238,16.77011125905785,4.09513263021576
copd,Base + Race 1,LM,5,0.15377802428020948,16.83480294691512,4.103023634701014
copd,Base + Race 2,LM,5,0.15539472086323802,16.669551804019704,4.082836245065396
copd,Base,LM,6,0.1632410410309686,13.881041969783379,3.7257270390869186
copd,Base + Race 1,LM,6,0.16319145707056837,13.943278536172638,3.7340699693729142
copd,Base + Race 2,LM,6,0.16595431726941834,13.974519612493014,3.7382508760773416
copd,Base,LM,7,0.15619673977811843,13.76040690109964,3.7095022443853085
copd,Base + Race 1,LM,7,0.15563756296082454,13.747308271285325,3.707736273157157
copd,Base + Race 2,LM,7,0.1583112620057695,13.760364275003488,3.709496498853111
copd,Base,LM,8,0.1681334744727473,13.963148145419163,3.7367296056069086
copd,Base + Race 1,LM,8,0.16759391845809257,13.94767028531984,3.734657987730582
copd,Base + Race 2,LM,8,0.16978274865404053,13.885625589791015,3.726342119262671
copd,Base,LM,9,0.155462541454368,13.416586865561674,3.6628659360617712
copd,Base + Race 1,LM,9,0.15504020528118956,13.40520283905405,3.661311628235713
copd,Base + Race 2,LM,9,0.15641547461740346,13.237579690554428,3.638348483935318
copd,Base,RF,0,0.08528043514583128,15.466157048193155,3.9327035291505457
copd,Base + Race 1,RF,0,0.102719501438718,15.17129581593927,3.8950347644070225
copd,Base + Race 2,RF,0,0.09201647483757636,15.352263509934792,3.9181964613754108
copd,Base,RF,1,0.20648960556557927,14.872829951946814,3.8565308182285816
copd,Base + Race 1,RF,1,0.20191202323286972,14.958627950439261,3.867638549611282
copd,Base + Race 2,RF,1,0.2328639217696089,14.378493995225046,3.7918984684752632
copd,Base,RF,2,0.1906697341931487,13.997831312531961,3.741367572496982
copd,Base + Race 1,RF,2,0.17481514859205705,14.27204546730959,3.777836082641701
copd,Base + Race 2,RF,2,0.20338252514217248,13.777956298913741,3.7118669559823587
copd,Base,RF,3,0.23607838376531476,14.890387676855568,3.8588065093828647
copd,Base + Race 1,RF,3,0.2364129448648905,14.88386639984441,3.857961430580198
copd,Base + Race 2,RF,3,0.2348979593619599,14.913396551870534,3.861786704605853
copd,Base,RF,4,0.1908099833841853,10.433954627124876,3.230163250847374
copd,Base + Race 1,RF,4,0.18359492882798523,10.526987845931089,3.244531991818094
copd,Base + Race 2,RF,4,0.19683456876334926,10.356271698266795,3.2181161722763822
copd,Base,RF,5,0.10511313005229672,14.782800252214594,3.8448407317097795
copd,Base + Race 1,RF,5,0.09710479138950256,14.915091466646079,3.862006145340279
copd,Base + Race 2,RF,5,0.1325731523773489,14.329183109551272,3.785390747274483
copd,Base,RF,6,0.10833349068872289,16.5640819696301,4.069899503627835
copd,Base + Race 1,RF,6,0.11601770329987304,16.421335857452497,4.052324747284267
copd,Base + Race 2,RF,6,0.10359179623087145,16.652166264436076,4.080706588868658
copd,Base,RF,7,0.07815547515556998,15.116790421644804,3.8880316898971907
copd,Base + Race 1,RF,7,0.06806725515058232,15.28222125453778,3.909248169985858
copd,Base + Race 2,RF,7,0.08275439086461456,15.04137548662399,3.8783212201446116
copd,Base,RF,8,0.15359943428964917,14.946246571388555,3.8660375801831717
copd,Base + Race 1,RF,8,0.1511646370655083,14.989241674579203,3.871594203242277
copd,Base + Race 2,RF,8,0.17680163885832,14.536528189180114,3.812679922204343
copd,Base,RF,9,0.20874431425216677,14.285262508037935,3.779584965050784
copd,Base + Race 1,RF,9,0.2077774501050823,14.302718190694621,3.7818934663333157
copd,Base + Race 2,RF,9,0.24071824264803932,13.70800793814937,3.70243270541807
