condition,model_name,model_type,fold,r2,mse,rmse
hf,Base,LM,0,0.2964643793544952,11.995008946518837,3.4633811436974185
hf,Base + Race 1,LM,0,0.297221012695737,11.958598059559021,3.4581205964452746
hf,Base + Race 2,LM,0,0.2962500789394198,11.989139357460962,3.46253366156359
hf,Base,LM,1,0.30084476476043487,13.112284223539627,3.621088817405564
hf,Base + Race 1,LM,1,0.3024392775814051,13.207617341990911,3.634228575914139
hf,Base + Race 2,LM,1,0.3018098099288382,13.333099411472958,3.6514516854907115
hf,Base,LM,2,0.28068193107571426,9.75003353182961,3.1225043685845515
hf,Base + Race 1,LM,2,0.28166829718050734,9.74366991401272,3.1214852096418335
hf,Base + Race 2,LM,2,0.2805252368893243,9.742649303105008,3.121321723742205
hf,Base,LM,3,0.2903035900658145,10.829005364125914,3.2907454116242287
hf,Base + Race 1,LM,3,0.29211663314212133,10.974289907986432,3.3127465807070773
hf,Base + Race 2,LM,3,0.29061278278613345,10.90285196467891,3.301946693191595
hf,Base,LM,4,0.2825340805719133,13.485385739076307,3.6722453266463977
hf,Base + Race 1,LM,4,0.28396142722640483,13.552240186225113,3.681336739042642
hf,Base + Race 2,LM,4,0.2823753745791895,13.506382124870498,3.675103008742816
hf,Base,LM,5,0.29877469437744797,15.122745567438466,3.8887974448971323
hf,Base + Race 1,LM,5,0.29889176826417874,15.019519988445316,3.875502546566744
hf,Base + Race 2,LM,5,0.29814954277662753,15.073361966153309,3.882442783371483
hf,Base,LM,6,0.2799378527449483,8.499212775325171,2.9153409363786547
hf,Base + Race 1,LM,6,0.28037516554109587,8.427167144257007,2.9029583435276862
hf,Base + Race 2,LM,6,0.279556569099748,8.466649250820135,2.909750719704376
hf,Base,LM,7,0.2946033441315986,12.265050742694882,3.502149446082346
hf,Base + Race 1,LM,7,0.294925032188047,12.179611647410916,3.489930034744381
hf,Base + Race 2,LM,7,0.29420786466014615,12.232763243347952,3.4975367393850134
hf,Base,LM,8,0.2868777131664906,9.206439070157327,3.0342114412409242
hf,Base + Race 1,LM,8,0.2875149503296194,9.155950197572741,3.025880069925565
hf,Base + Race 2,LM,8,0.28674225702069445,9.203662144594905,3.0337538042159755
hf,Base,LM,9,0.2979888638914585,13.13821100934178,3.624667020478127
hf,Base + Race 1,LM,9,0.2991379768071577,13.157559133100516,3.627334990471726
hf,Base + Race 2,LM,9,0.2980866518782487,13.167217433142373,3.628666068012097
hf,Base,RF,0,0.2751983266746183,13.665567058048106,3.6966967765896226
hf,Base + Race 1,RF,0,0.28682436606737827,13.446367204090338,3.666928851790056
hf,Base + Race 2,RF,0,0.2761366118813454,13.647876426411903,3.694303239639635
hf,Base,RF,1,0.27571778596077456,12.729491072104215,3.567841234150451
hf,Base + Race 1,RF,1,0.2679857876457291,12.865383410219211,3.586834734165935
hf,Base + Race 2,RF,1,0.2814995156159398,12.627875328130196,3.553572192615509
hf,Base,RF,2,0.2672201865574153,12.048220847009901,3.4710547167986134
hf,Base + Race 1,RF,2,0.27590727304545226,11.905389488114743,3.4504187409812657
hf,Base + Race 2,RF,2,0.2641791162060272,12.098221524611384,3.4782497789278137
hf,Base,RF,3,0.17743122834572855,9.703222172607868,3.114999546164954
hf,Base + Race 1,RF,3,0.17629098436144208,9.716672769192348,3.117157803062326
hf,Base + Race 2,RF,3,0.18113548535815294,9.659525851990557,3.1079777753372944
hf,Base,RF,4,0.15263053945722782,11.579893805466321,3.4029243020476256
hf,Base + Race 1,RF,4,0.14843466623768087,11.637233335111906,3.4113389358303152
hf,Base + Race 2,RF,4,0.15994475915641015,11.479939899489905,3.3882060001555256
hf,Base,RF,5,0.38175565610214235,11.74422066715245,3.426984194178965
hf,Base + Race 1,RF,5,0.3921197191247455,11.547344069174487,3.398138324020152
hf,Base + Race 2,RF,5,0.39380917294802165,11.515251064679816,3.393412893339067
hf,Base,RF,6,0.23384867717153524,10.587053696081623,3.253775298953759
hf,Base + Race 1,RF,6,0.24695734189676866,10.405911755586601,3.2258195478957905
hf,Base + Race 2,RF,6,0.24620378950916544,10.416324711033722,3.2274331458658785
hf,Base,RF,7,0.17913665716882665,14.00855254206593,3.742800093788864
hf,Base + Race 1,RF,7,0.1751556006511008,14.076491791501956,3.7518651083830235
hf,Base + Race 2,RF,7,0.1775043156587527,14.036409483187944,3.746519649379667
hf,Base,RF,8,0.3196848149313738,12.407118471449223,3.522373982337654
hf,Base + Race 1,RF,8,0.32671351581786345,12.278933879199883,3.504130973465444
hf,Base + Race 2,RF,8,0.3206912710547062,12.388763419801743,3.519767523544949
hf,Base,RF,9,0.3336429665671896,9.659664088746686,3.1080000142771373
hf,Base + Race 1,RF,9,0.3185116501370868,9.879011115343447,3.143089422104221
hf,Base + Race 2,RF,9,0.3314682847497399,9.691188774166829,3.113067422040009
