feature,importance,condition
beneficiary_avg_age,0.07999597635197034,copd
pct_female,0.03356674230170934,copd
pct_medicare_medicaid,0.22486718547585516,copd
pct_alzheimers,0.03885660930607322,copd
pct_cancer,0.038369827131391074,copd
pct_congestive_heart_failure,0.03152314856826582,copd
pct_chronic_kidney_disease,0.035608668213033705,copd
pct_copd,0.017753106684073358,copd
pct_depression,0.03420454261056154,copd
pct_diabetes,0.07809573661529487,copd
pct_ischemic_heart_disease,0.02644221696854414,copd
pct_osteoporosis,0.03444160155421979,copd
pct_arthritis,0.028616970240208726,copd
pct_psychotic_disorders,0.15153907227580052,copd
pct_stroke,0.03972024678742474,copd
pct_non_white,0.10639834891557368,copd
