feature,importance,condition
beneficiary_avg_age,0.0436283892044936,hf
pct_female,0.036766158247258,hf
pct_medicare_medicaid,0.1032991012979731,hf
pct_alzheimers,0.0713461757096492,hf
pct_cancer,0.0606335710253894,hf
pct_congestive_heart_failure,0.0431027891526062,hf
pct_chronic_kidney_disease,0.0607601322443283,hf
pct_copd,0.0629729167313017,hf
pct_depression,0.0333910016018637,hf
pct_diabetes,0.1244736879335478,hf
pct_ischemic_heart_disease,0.0543687254015387,hf
pct_osteoporosis,0.0422083567190094,hf
pct_arthritis,0.0329765735010344,hf
pct_psychotic_disorders,0.1233402318414775,hf
pct_stroke,0.0463986769010729,hf
pct_non_white,0.0603335124874553,hf
beneficiary_avg_age,0.0799959763519703,copd
pct_female,0.0335667423017093,copd
pct_medicare_medicaid,0.2248671854758551,copd
pct_alzheimers,0.0388566093060732,copd
pct_cancer,0.038369827131391,copd
pct_congestive_heart_failure,0.0315231485682658,copd
pct_chronic_kidney_disease,0.0356086682130337,copd
pct_copd,0.0177531066840733,copd
pct_depression,0.0342045426105615,copd
pct_diabetes,0.0780957366152948,copd
pct_ischemic_heart_disease,0.0264422169685441,copd
pct_osteoporosis,0.0344416015542197,copd
pct_arthritis,0.0286169702402087,copd
pct_psychotic_disorders,0.1515390722758005,copd
pct_stroke,0.0397202467874247,copd
pct_non_white,0.1063983489155736,copd
beneficiary_avg_age,0.0582785985837238,pn
pct_female,0.0322926734683528,pn
pct_medicare_medicaid,0.1188161678109358,pn
pct_alzheimers,0.0525102894688808,pn
pct_cancer,0.0547906470039293,pn
pct_congestive_heart_failure,0.0436956646995849,pn
pct_chronic_kidney_disease,0.066253977383486,pn
pct_copd,0.0556399698671999,pn
pct_depression,0.0354298194890801,pn
pct_diabetes,0.1279529237730904,pn
pct_ischemic_heart_disease,0.0444665680871748,pn
pct_osteoporosis,0.0369151246600318,pn
pct_arthritis,0.0421964973851634,pn
pct_psychotic_disorders,0.1002721133006463,pn
pct_stroke,0.0572345736741193,pn
pct_non_white,0.0732543913446,pn
