feature,importance,condition
beneficiary_avg_age,0.043628389204493634,hf
pct_female,0.03676615824725803,hf
pct_medicare_medicaid,0.10329910129797311,hf
pct_alzheimers,0.0713461757096492,hf
pct_cancer,0.060633571025389445,hf
pct_congestive_heart_failure,0.04310278915260626,hf
pct_chronic_kidney_disease,0.06076013224432835,hf
pct_copd,0.0629729167313017,hf
pct_depression,0.03339100160186375,hf
pct_diabetes,0.12447368793354789,hf
pct_ischemic_heart_disease,0.054368725401538705,hf
pct_osteoporosis,0.04220835671900945,hf
pct_arthritis,0.03297657350103443,hf
pct_psychotic_disorders,0.12334023184147759,hf
pct_stroke,0.046398676901072994,hf
pct_non_white,0.060333512487455374,hf
