facility_name,facility_id,state,condition,condition_name,measure_name,number_of_discharges,readmissions_footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,calc_err,calc_err_match,number_of_readmissions,readm_start_date,readm_end_date
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,1.0301,4.5819,4.4481,1.030080258986983,1.0,,7/1/18,6/30/21
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,202.0,,0.9903,19.1885,19.3765,0.990297525352876,1.0,38.0,7/1/18,6/30/21
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,319.0,,0.9958,14.4888,14.5498,0.9958075025086256,1.0,46.0,7/1/18,6/30/21
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,PN,Pneumonia,READM-30-PN-HRRP,437.0,,0.9568,17.0029,17.7701,0.9568263543817987,1.0,71.0,7/1/18,6/30/21
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,HF,Heart Failure,READM-30-HF-HRRP,757.0,,1.0551,23.0374,21.8333,1.0551497025186298,1.0,178.0,7/1/18,6/30/21
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,165.0,,0.9836,11.1341,11.3202,0.9835603611243617,1.0,18.0,7/1/18,6/30/21
MARSHALL MEDICAL CENTERS,10005,AL,AMI,Acute Myocardial Infarction,READM-30-AMI-HRRP,,,0.9603,16.2327,16.9033,0.960327273372655,1.0,,7/1/18,6/30/21
MARSHALL MEDICAL CENTERS,10005,AL,CABG,Coronary Artery Bypass Graft,READM-30-CABG-HRRP,,Results are not available for this reporting period.,,,,,,,7/1/18,6/30/21
MARSHALL MEDICAL CENTERS,10005,AL,HIP-KNEE,Total Hip/Knee Arthroplasty,READM-30-HIP-KNEE-HRRP,,,0.9816,4.1113,4.1886,0.9815451463496155,0.0,,7/1/18,6/30/21
MARSHALL MEDICAL CENTERS,10005,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,235.0,,0.9034,16.4506,18.2089,0.9034373300968209,1.0,31.0,7/1/18,6/30/21
MARSHALL MEDICAL CENTERS,10005,AL,PN,Pneumonia,READM-30-PN-HRRP,361.0,,0.9777,15.6895,16.0472,0.9777095069544843,1.0,55.0,7/1/18,6/30/21
MARSHALL MEDICAL CENTERS,10005,AL,HF,Heart Failure,READM-30-HF-HRRP,157.0,,1.0057,20.1475,20.0336,1.0056854484466098,1.0,32.0,7/1/18,6/30/21
NORTH ALABAMA MEDICAL CENTER,10006,AL,PN,Pneumonia,READM-30-PN-HRRP,538.0,,1.1525,19.0197,16.5034,1.1524716119102731,1.0,113.0,7/1/18,6/30/21
NORTH ALABAMA MEDICAL CENTER,10006,AL,COPD,Chronic Obstructive Pulmonary Disease,READM-30-COPD-HRRP,235.0,,0.9027,16.5144,18.2945,0.9026975320451501,1.0,31.0,7/1/18,6/30/21
NORTH ALABAMA MEDICAL CENTER,10006,AL,HF,Heart Failure,READM-30-HF-HRRP,550.0,,0.944,19.592,20.7534,0.9440380853257779,1.0,104.0,7/1/18,6/30/21
